company_id,field,raw_text,reason
SBILIFE,compounded_sales_growth,TTM:            43%,no digit-prefixed 'N Years:' pattern found
SBILIFE,compounded_profit_growth,TTM:                 18%,no digit-prefixed 'N Years:' pattern found
SBILIFE,stock_price_cagr,     1 Year:         -2%,no digit-prefixed 'N Years:' pattern found
SBILIFE,roe,Last Year:      12%,no digit-prefixed 'N Years:' pattern found
TCS,compounded_sales_growth,TTM:            5%             ,no digit-prefixed 'N Years:' pattern found
TCS,compounded_profit_growth,TTM:                 8%,no digit-prefixed 'N Years:' pattern found
TCS,roe,Last Year:       52%,no digit-prefixed 'N Years:' pattern found
WIPRO,stock_price_cagr,      3 Years:      -1%,no digit-prefixed 'N Years:' pattern found
WIPRO,compounded_sales_growth,TTM:           -3%,no digit-prefixed 'N Years:' pattern found
WIPRO,compounded_profit_growth,TTM:                 1%,no digit-prefixed 'N Years:' pattern found
WIPRO,roe,Last Year:       14%,no digit-prefixed 'N Years:' pattern found
HDFCBANK,compounded_sales_growth,TTM:            47%,no digit-prefixed 'N Years:' pattern found
HDFCBANK,compounded_profit_growth,TTM:                27%,no digit-prefixed 'N Years:' pattern found
HDFCBANK,roe,Last Year:    17%,no digit-prefixed 'N Years:' pattern found
INFY,compounded_sales_growth,TTM:            3%,no digit-prefixed 'N Years:' pattern found
INFY,compounded_profit_growth,TTM:                 8%,no digit-prefixed 'N Years:' pattern found
INFY,roe,Last Year:     32%,no digit-prefixed 'N Years:' pattern found
